Pesel;Nazwisko;Imie;Plec;Wiek
p07311702900;Boruszewska;Zofia;dziewczynka;5
p07213108053;Bosak;Oliwier;chlopiec;5
p07230100340;Bosek;Julia;dziewczynka;5
p07323100431;Bozko;Kuba;chlopiec;5
p07322602590;Braun;Szymon;chlopiec;5
p07311400129;Brodziak;Nicole;dziewczynka;5
p07252204952;Brodzinski;Franciszek;chlopiec;5
p07272900157;Brozyniak;Jan;chlopiec;5
p07231903591;Bruski;Mateusz;chlopiec;5
p07230701206;Brzozowska;Barbara;dziewczynka;5
p07321308848;Brzoska;Milena;dziewczynka;5
p07221601511;Buczkowski;Dawid;chlopiec;5
p07320905176;Buczynski;Maksymilian;chlopiec;5
p07253005033;Budny;Oskar;chlopiec;5
p07281600394;Budrejko;Jerzy;chlopiec;5
p07300801555;Budych;Fabian;chlopiec;5
p07241803632;Budzinski;Oliwer;chlopiec;5
p07282700819;Buglewski;Wiktor;chlopiec;5
p07301400739;Butajlo;Dawid;chlopiec;5
p07251303300;Byczkowska;Lena;dziewczynka;5
p07260602333;Cejman;Kacper;chlopiec;5
p07301006089;Cejnog;Natalia;dziewczynka;5
p07211704411;Chirek;Oskar;chlopiec;5
p07242301399;Chlewinski;Bartosz;chlopiec;5
p07242703030;Chmielecki;Maciej;chlopiec;5
p07212007834;Chorebala;Jakub;chlopiec;5
p07273103580;Chylinska;Karolina;dziewczynka;5
p07251707227;Chylinska;Klaudia;dziewczynka;5
p07281903466;Chyla;Gabriela;dziewczynka;5
p07272411255;Ciapka;Piotr;chlopiec;5
p07290804585;Ciarkowska;Maja;dziewczynka;5
p07281701828;Cieslik;Anna;dziewczynka;5
p07310600209;Ciolek;Stella;dziewczynka;5
p07211903728;Cirocka;Natalia;dziewczynka;5
p07302503721;Colbecka;Aleksandra;dziewczynka;5
p07272300643;Cudnik;Paulina;dziewczynka;5
p07292111232;Cygert;Wojciech;chlopiec;5
p07241902706;Czajkowska;Michalina;dziewczynka;5
p07281701842;Czarkowska;Natalia;dziewczynka;5
p07321200744;Czecholinska;Anna;dziewczynka;5
p07271900943;Czmara;Olimpia;dziewczynka;5
p07292302173;Czujko;Kamil;chlopiec;5
p07262201400;Czulak;Agata;dziewczynka;5
p07291911857;Czyz;Lukasz;chlopiec;5
p07280700903;Daczkowska;Julia;dziewczynka;5
p07221502096;Dargacz;Jakub;chlopiec;5
p07222804364;Dawidowska;Maria;dziewczynka;5
p07271900813;Dabrowski;Julian;chlopiec;5
p07311800363;Dejneka;Dominika;dziewczynka;5
p07212101767;Dembowska;Patrycja;dziewczynka;5
p07271902471;Demko;Artur;chlopiec;5
p07251101762;Deptula;Marta;dziewczynka;5
p07272602851;Dering;Dominik;chlopiec;5
p07301303391;Deszcz;Piotr;chlopiec;5
p07271002355;Debinski;Mikolaj;chlopiec;5
p07310501197;Dobkowski;Antoni;chlopiec;5
p07312110311;Dolega;Adrian;chlopiec;5
p07210304353;Domanski;Nikodem;chlopiec;5
p07270501176;Dowgiallo;Olaf;chlopiec;5
p07271211542;Dragunajtys;Nikola;dziewczynka;5
p07260100725;Draws;Klaudia;dziewczynka;5
p07290900236;Drewa;Olivier;chlopiec;5
p07311804985;Duchcik;Magdalena;dziewczynka;5
p07231903614;Dudek;Adam;chlopiec;5
p07262607718;Dulak;Michal;chlopiec;5
p07292611947;Duraj;Kinga;dziewczynka;5
p07292106128;Dziechcinska;Zuzanna;dziewczynka;5
p07292905178;Dziendziela;Szymon;chlopiec;5
p07222101065;Dziubanska;Amelia;dziewczynka;5
p07251602737;Ertmanski;Piotr;chlopiec;5
p07320610241;Felisiak;Amelia;dziewczynka;5
p07260502572;Filar;Eryk;chlopiec;5
p07282201341;Flaszynska;Dorota;dziewczynka;5
p07311500171;Florczuk;Kuba;chlopiec;5
p07260900943;Fraczkowska;Agnieszka;dziewczynka;5
p07220702350;Frej;Mateusz;chlopiec;5
p07262510687;Gadomska;Julia;dziewczynka;5
p07253109072;Galamon;Szymon;chlopiec;5
p07272600996;Galezowski;Stanislaw;chlopiec;5
p07222200849;Garbalinska;Natalia;dziewczynka;5
p07262605297;Gasinski;Wiktor;chlopiec;5
p07302902483;Gburek;Marta;dziewczynka;5
p07323107278;Geszczynski;Leonard;chlopiec;5
p07301300190;Gielniak;Michal;chlopiec;5
p07220302895;Giewartowski;Milan;chlopiec;5
p07210200536;Glanc;Damian;chlopiec;5
p07241600109;Glowacka;Nadia;dziewczynka;5
p07212210735;Glowacki;Jan;chlopiec;5
p07280711846;Gluchowska;Oliwia;dziewczynka;5
p07271501663;Golanko;Martyna;dziewczynka;5
p07312002450;Golebiewski;Krzysztof;chlopiec;5
p07280202603;Gorczynska;Amelia;dziewczynka;5
p07212708544;Gorzelanczyk;Nadia;dziewczynka;5
p07270806875;Grabek;Michal;chlopiec;5
p07261502137;Grandus;Michal;chlopiec;5
p07271801077;Gratkowski;Michal ;chlopiec;5
p07232008639;Groch;Michal;chlopiec;5
p07221603544;Grodzicka;Barbara;dziewczynka;5
p07302001083;Gryckiewicz;Dominika;dziewczynka;5
p07292002196;Guz;Olaf;chlopiec;5
p07252000114;Guzewicz;Mateusz;chlopiec;5
p07220402588;Gwiazdowska;Weronika;dziewczynka;5
p07310702031;Hajbos;Jakub;chlopiec;5
p07230203074;Helinski;Maksymilian;chlopiec;5
p07240404322;Holownia;Agnieszka;dziewczynka;5
p07290905392;Huba;Michal;chlopiec;5
p07311410108;Ilczuk;Zuzanna;dziewczynka;5
p07260602883;Jablonska;Weronika;dziewczynka;5
p07262207079;Jablonski;Mikolaj;chlopiec;5
p07290707499;Jakubaszko;Wiktor;chlopiec;5
p07301000632;Jakubowski;Daniel;chlopiec;5
p07261502199;Jakubowski;Igor;chlopiec;5
p07301108637;Jakubowski;Kacper;chlopiec;5
p07281300928;Jancen;Milena;dziewczynka;5
p07310901553;Jancewicz;Dominik;chlopiec;5
p07251401954;Janczynski;Hubert;chlopiec;5
p07211904828;Jankiewicz;Sonia;dziewczynka;5
p07272400527;Jantosz;Weronika;dziewczynka;5
p07321201172;Jaroszek;Aleksander;chlopiec;5
p07270701309;Jasinska;Agnieszka;dziewczynka;5
p07322702344;Jastrzebska;Kalina;dziewczynka;5
p07292307284;Jaskowiec;Hanna;dziewczynka;5
p07291803477;Jaworski;Jan;chlopiec;5
p07260504116;Jednoralski;Damian;chlopiec;5
p07262904969;Jercha;Agnieszka;dziewczynka;5
p07302200925;Jeszke;Nikola;dziewczynka;5
p07222500895;Jedrzejewski;Nikodem;chlopiec;5
p07281701873;Kachniarz;Marcin;chlopiec;5
p07261801007;Kaczorowska;Aleksandra;dziewczynka;5
p07281405395;Kaczynski;Bartosz;chlopiec;5
p07272300773;Kadzinski;Wiktor;chlopiec;5
p07311601216;Kaledkiewicz;Jakub;chlopiec;5
p07250203250;Kaminski;Jonasz;chlopiec;5
p07312709913;Kaminski;Julian;chlopiec;5
p07221001045;Kaniewska;Milena;dziewczynka;5
p07282101443;Karaban;Zofia;dziewczynka;5
p07231001343;Karwik;Barbara;dziewczynka;5
p07290101965;Kass;Monika;dziewczynka;5
p07322202127;Kaszubowska;Lena;dziewczynka;5
p07322701411;Kazarnowicz;Jakub;chlopiec;5
p07212900229;Kecler;Oliwia;dziewczynka;5
p07320500319;Kenig;Jakub;chlopiec;5
p07282302776;Kedzierski;Kajetan;chlopiec;5
p07300603959;Kedzierski;Krzysztof;chlopiec;5
p07231107933;Kedzior;Lukasz;chlopiec;5
p07281901839;Kieloch;Jan;chlopiec;5
p07312600382;Kielbowicz;Zuzanna;dziewczynka;5
p07232207625;Kieryl;Dominika;dziewczynka;5
p07291404210;Klein;Franciszek;chlopiec;5
p07301400715;Klemens;Adrian;chlopiec;5
p07322708265;Kmita;Nina;dziewczynka;5
p07242904769;Koklowska;Pola;dziewczynka;5
p07280713008;Kokoryka;Katarzyna;dziewczynka;5
p07320208088;Kolacinska;Laura;dziewczynka;5
p07263003575;Kolodziejczyk;Antoni;chlopiec;5
p07271200142;Konieczka;Julia;dziewczynka;5
p07272001896;Kopiejc;Konrad;chlopiec;5
p07221502522;Kordonska;Natalia;dziewczynka;5
p07301703092;Kordowski;Tymon;chlopiec;5
p07250302829;Korenkiewicz;Nikola;dziewczynka;5
p07300301529;Kortus;Wiktoria;dziewczynka;5
p07312802029;Korzeniewicz;Patrycja;dziewczynka;5
p07300906540;Kostkiewicz;Natalia;dziewczynka;5
p07323000458;Kotlarek;Bartosz;chlopiec;5
p07280800689;Kowalczyk;Malgorzata;dziewczynka;5
p07252801562;Kowalewska;Aleksandra;dziewczynka;5
p07261301156;Kowalewski;Stanislaw;chlopiec;5
p07320102948;Kowalinska;Natalia;dziewczynka;5
p07231602247;Kowalska;Maja;dziewczynka;5
p07302001120;Kowalska;Paula;dziewczynka;5
p07232400912;Kowalski;Lukasz;chlopiec;5
p07222301540;Kozlowska;Salwina;dziewczynka;5
p07280806760;Kozlowska;Wiktoria;dziewczynka;5
p07281300942;Krainska;Agnieszka;dziewczynka;5
p07292603700;Kramer;Paulina;dziewczynka;5
p07322202103;Kreft;Kamila;dziewczynka;5
p07311702795;Kruszewski;Olaf;chlopiec;5
p07250201302;Krynicka;Izabela;dziewczynka;5
p07241001269;Kubacka;Viktoria;dziewczynka;5
p07271604991;Kucharczyk;Szymon;chlopiec;5
p07242002665;Kudla;Maja;dziewczynka;5
p07252403900;Kurowska;Iga;dziewczynka;5
p07260601011;Kurzynski;Oskar;chlopiec;5
p07292509938;Kusmirek;Maciej;chlopiec;5
p07211401578;Kwiatkowski;Jeremiasz;chlopiec;5
p07210910804;Kwietniowska;Patrycja;dziewczynka;5
p07210311377;Langowski;Aleksander;chlopiec;5
p07290602268;Lendzion;Malgorzata;dziewczynka;5
p07290401423;Lendzion;Natalia;dziewczynka;5
p07291400957;Leszczynski;Mikolaj;chlopiec;5
p07242202546;Lewandowska;Iga;dziewczynka;5
p07252000138;Lewandowski ;Jakub;chlopiec;5
p07231509995;Ligman;Olaf;chlopiec;5
p07252804060;Ligocka;Maja;dziewczynka;5
p07271908385;Liwacz;Maja;dziewczynka;5
p07293007787;Lorenc;Aleksandra;dziewczynka;5
p07243001687;Lopinska;Weronika;dziewczynka;5
p07313000211;Machalinski;Mikolaj;chlopiec;5
p07262801938;Maciejewski;Wojciech;chlopiec;5
p07210503233;Mackowiak;Kryspin;chlopiec;5
p07271101542;Majchrzak;Kalina;dziewczynka;5
p07272903242;Majkowska;Amelia;dziewczynka;5
p07322301406;Makarska;Amelia;dziewczynka;5
p07301710627;Makowska;Nadia;dziewczynka;5
p07232903514;Mankowski;Jakub;chlopiec;5
p07242207220;Marchwinska;Wiktoria;dziewczynka;5
p07211401554;Marcinowski;Rafal;chlopiec;5
p07222001617;Marczewski;Franciszek;chlopiec;5
p07300901491;Markiewicz;Lukasz;chlopiec;5
p07321903203;Markiewicz;Roksana;dziewczynka;5
p07240602836;Markowiak;Mateusz;chlopiec;5
p07291500657;Masa;Kacper;chlopiec;5
p07240603387;Masurowska;Magdalena;dziewczynka;5
p07301703115;Matelski;Adam;chlopiec;5
p07283003447;Mechlinska;Aleksandra;dziewczynka;5
p07222700554;Michalak;Adrian;chlopiec;5
p07230301949;Miedlar;Julia;dziewczynka;5
p07291301425;Mika;Anna;dziewczynka;5
p07272305372;Mika;Antoni;chlopiec;5
p07220602254;Milecki;Fabian;chlopiec;5
p07300602095;Miler;Mateusz;chlopiec;5
p07311802792;Milerski;Maksymilian;chlopiec;5
p07280306093;Mokrzycki;Wiktor;chlopiec;5
p07322601025;Molasy;Dominika;dziewczynka;5
p07250701376;Mosiejko;Stanislaw;chlopiec;5
p07270203047;Mroczkowska;Anna;dziewczynka;5
p07260204658;Murawski;Filip;chlopiec;5
p07221200734;Murawski;Igor;chlopiec;5
p07232604668;Napiorkowska;Anna;dziewczynka;5
p07322701398;Nike;Michal;chlopiec;5
p07230302025;Nowak;Julia;dziewczynka;5
p07282600171;Nowak;Tomasz;chlopiec;5
p07261602196;Ogorzalek;Maciej;chlopiec;5
p07273103375;Olszewski;Jakub;chlopiec;5
p07310103177;Olszewski;Nikodem;chlopiec;5
p07270700360;Orczyk;Katarzyna;dziewczynka;5
p07230601346;Paliniewicz;Julia;dziewczynka;5
p07212900137;Pawlak;Filip;chlopiec;5
p07260602418;Peplinski;Antoni;chlopiec;5
p07322901736;Piechowski;Tytus;chlopiec;5
p07301902019;Pietrowski;Szymon;chlopiec;5
p07262303140;Piwakowska;Konstancja;dziewczynka;5
p07282301904;Plichta;Laura;dziewczynka;5
p07260501373;Popiolek;Szymon;chlopiec;5
p07281809038;Prochniewicz;Krzysztof;chlopiec;5
p07282800090;Przyloga;Jakub;chlopiec;5
p07220702183;Pull;Zuzanna;dziewczynka;5
p07230511199;Pytlak;Maciej;chlopiec;5
p07211107207;Rafinska;Kinga;dziewczynka;5
p07270202084;Rajek;Oliwia;dziewczynka;5
p07310101236;Retzlaff;Adrian ;chlopiec;5
p07262200690;Rezmer;Olaf;chlopiec;5
p07301603323;Romanowska;Julia;dziewczynka;5
p07302300540;Rombel;Zofia;dziewczynka;5
p07321200706;Rosiak;Barbara;dziewczynka;5
p07300901187;Rozynska;Martyna;dziewczynka;5
p07280902183;Rup;Marta;dziewczynka;5
p07320708670;Rutkowski;Radoslaw;chlopiec;5
p07300607274;Rzepkowski;Tymon;chlopiec;5
p07312703153;Salamonowicz;Hugo;chlopiec;5
p07271303104;Samulczyk;Martyna;dziewczynka;5
p07231300411;Schielmann;Filip;chlopiec;5
p07280202658;Seroka;Filip;chlopiec;5
p07282700796;Siekierski;Jakub;chlopiec;5
p07272008787;Siemiatkowska;Natalie;dziewczynka;5
p07270303556;Siewielec;Antoni;chlopiec;5
p07321112919;Silakowski;Deivid;chlopiec;5
p07242411795;Simiot;Andrea;chlopiec;5
p07240900132;Siwek;Bartosz;chlopiec;5
p07321400441;Siwicka;Aleksandra;dziewczynka;5
p07280306116;Skabara;Mateusz;chlopiec;5
p07320504030;Skawinski;Krzesztof;chlopiec;5
p07291503315;Sklarow;Piotr;chlopiec;5
p07302304643;Skoczypiec;Iga;dziewczynka;5
p07280700941;Skowera;Karolina;dziewczynka;5
p07212601977;Skrzyniarz;Stanislaw;chlopiec;5
p07212900755;Smarzynski;Adam;chlopiec;5
p07282100640;Sochacka;Oliwia;dziewczynka;5
p07320107998;Sochacki;Kasjan;chlopiec;5
p07310901638;Sokolowski;Olivier;chlopiec;5
p07260901005;Sosnowska;Zofia;dziewczynka;5
p07310700909;Sojka;Patrycja;dziewczynka;5
p07300801616;Specius;Wojciech;chlopiec;5
p07221000952;Sprengel;Piotr;chlopiec;5
p07280706060;Spyra;Dominika;dziewczynka;5
p07281200969;Stawicka;Emilia;dziewczynka;5
p07251901096;Stawny;Oliwier;chlopiec;5
p07211803936;Stencel;Ksawery;chlopiec;5
p07232401128;Stolarczyk;Hanna;dziewczynka;5
p07312208337;Stranz;Lukasz;chlopiec;5
p07281901082;Strzalkowska;Julia;dziewczynka;5
p07261900539;Suchcicki;Oskar;chlopiec;5
p07322708289;Sumila;Julia;dziewczynka;5
p07322603515;Suski;Nikodem;chlopiec;5
p07280312016;Sykula;Kacper;chlopiec;5
p07260402575;Sykus;Mikolaj;chlopiec;5
p07312104831;Sylwesiuk;Kacper;chlopiec;5
p07281100948;Symoszyn;Zuzanna;dziewczynka;5
p07300801562;Szalach;Zofia;dziewczynka;5
p07282404850;Szczepankowski;Patryk;chlopiec;5
p07232207540;Szczepanska;Hanna;dziewczynka;5
p07270900838;Szczesny;Jakub;chlopiec;5
p07291602564;Szczudrawa;Nina;dziewczynka;5
p07241001245;Szczuka;Diana;dziewczynka;5
p07252907107;Szczuplinska;Aleksandra;dziewczynka;5
p07322301420;Szczygiel;Dominika;dziewczynka;5
p07271303296;Szlage;Szymon;chlopiec;5
p07250501556;Szmaglinski;Kacper;chlopiec;5
p07280202672;Szmitko;Jakub;chlopiec;5
p07222500901;Szmon;Natalia;dziewczynka;5
p07211605217;Szmurlo;Tomasz;chlopiec;5
p07272700153;Szulc;Mateusz;chlopiec;5
p07280606605;Szwacka;Oliwia;dziewczynka;5
p07261903273;Szydlowski;Wiktor;chlopiec;5
p07212900748;Szymanska;Julia;dziewczynka;5
p07261701338;Szyszkowski;Filip;chlopiec;5
p07303002175;Scibisz;Wojcich;chlopiec;5
p07220308372;Sciebur;Bartlomiej;chlopiec;5
p07222804340;Scinska;Laura;dziewczynka;5
p07301403237;Swider;Lukasz;chlopiec;5
p07300400570;Tempinski;Szymon;chlopiec;5
p07231510661;Tokarewicz;Wiktoria;dziewczynka;5
p07222200306;Tokarska;Hanna;dziewczynka;5
p07282906741;Tomala;Wiktoria;dziewczynka;5
p07231803556;Tomaszewski;Jakub;chlopiec;5
p07250409236;Tomaszkiewicz;Jakub;chlopiec;5
p07250300278;Tomaszkiewicz;Maksymilian;chlopiec;5
p07291912513;Trzcinski;Szymon;chlopiec;5
p07231803570;Trzuskawski;Franciszek;chlopiec;5
p07321803770;Tupalski;Borys;chlopiec;5
p07272500425;Turek;Maja;dziewczynka;5
p07241401724;Urbanska;Klaudia;dziewczynka;5
p07291712670;Usowicz;Adrian;chlopiec;5
p07250809753;Wachowiak;Dominik;chlopiec;5
p07311005485;Wachowska;Dominika;dziewczynka;5
p07290207210;Wadowiec;Marcel;chlopiec;5
p07262205008;Wakuluk;Maja;dziewczynka;5
p07213100352;Walaszkowski;Krystian;chlopiec;5
p07322202998;Warda;Jan Marcin;chlopiec;5
p07212700416;Wawrzyniak;Bartosz;chlopiec;5
p07241601377;Wencel;Dawid;chlopiec;5
p07310701993;Wentland;Szymon;chlopiec;5
p07231506398;Wesolowski;Jedrzej;chlopiec;5
p07302700104;Wedrocha;Pola;dziewczynka;5
p07230211358;Wieczorkowski;Maksymilian;chlopiec;5
p07261703576;Wieruszewski;Michal;chlopiec;5
p07280403950;Wilkus;Kajetan;chlopiec;5
p07280501276;Winiecki;Jan;chlopiec;5
p07251108295;Wirbal;Krzysztof;chlopiec;5
p07282908330;Wiszniewski;Aleksander;chlopiec;5
p07290504751;Wiszniewski;Karol;chlopiec;5
p07241501103;Wisniewska;Marta;dziewczynka;5
p07250200998;Wisniewski;Jakub;chlopiec;5
p07261501969;Witkowska;Emilia;dziewczynka;5
p07252703994;Wojton;Olaf;chlopiec;5
p07302300557;Wydrowski;Kamil;chlopiec;5
p07222600106;Wydrzynska;Magdalena;dziewczynka;5
p07262107843;Zajaczkowska;Julia;dziewczynka;5
p07292603687;Zakrzewska;Wiktoria;dziewczynka;5
p07262806216;Zakrzewski;Jakub;chlopiec;5
p07260802740;Zazula;Zofia;dziewczynka;5
p07230800745;Zbieska;Julia;dziewczynka;5
p07241501080;Zdrojewska;Malgorzata;dziewczynka;5
p07261813491;Zebala;Adrian;chlopiec;5
p07242502271;Zielinski;Juliusz;chlopiec;5
p07232003498;Zielinski;Michal;chlopiec;5
p07321906749;Zinkiewicz;Julia;dziewczynka;5
p07211100606;Zmiczerewska;Nina;dziewczynka;5
p07302404428;Zmyslona;Wiktoria;dziewczynka;5
p07230401311;Zelek;Maksymilian;chlopiec;5
p07242000243;Zmuda;Anastazja;dziewczynka;5
p07261511719;Zmuda;Oliwer;chlopiec;5
p07282211757;Zurawski;Bartosz;chlopiec;5
p07272300131;Zurowski;Piotr;chlopiec;5
p07240301308;Zylinska;Hanna;dziewczynka;5
p08262800972;Adamiec;Piotr;chlopiec;4
p08230707995;Afeltowicz;Szymon;chlopiec;4
p08271801005;Antonienko;Anna;dziewczynka;4
p08271112451;Armatowski;Szymon;chlopiec;4
p08312706948;Artemska;Aleksandra;dziewczynka;4
p08261605912;Badaszek;Jan;chlopiec;4
p08222100412;Bankowski;Artur;chlopiec;4
p08211001294;Barabasz;Aleksander;chlopiec;4
