Pesel;Numer_preferencji;Id_przedszkola
p09220204214;2;53
p07221001045;1;35
p09220803758;1;3
p09220803758;2;5
p09220803758;3;76
p09311204222;1;17
p09311204222;2;61
p09311204222;3;66
p08242404945;1;39
p09240300943;1;76
p09240300943;2;49
p09240300943;3;2
p09262304428;1;32
p09262304428;2;76
p09262304428;3;31
p09281210904;1;66
p07260402575;1;66
p08291904519;1;52
p08241408827;1;45
p09260505630;1;66
p09270802585;1;33
p09270802585;2;51
p09273011762;1;47
p09273011762;2;50
p09273007949;1;47
p09273007949;2;50
p06243003620;1;31
p08302903696;1;76
p08302903696;2;56
p08261104428;1;76
p08261104428;2;56
p09301105218;1;53
p09301105218;2;61
p09321305122;1;3
p09321305122;2;5
p09321305122;3;10
p09241302609;1;66
p09241302609;2;3
p09241302609;3;39
p07230301949;1;76
p07230301949;2;39
p07230301949;3;56
p09260110913;1;76
p09260110913;2;39
p09260110913;3;56
p09251211759;1;5
p09251211759;2;39
p09251211759;3;76
p09221507200;1;39
p09221507200;2;76
p09221507200;3;4
p08222511308;1;76
p08222511308;2;3
p08222511308;3;2
p09270712222;1;3
p07282908330;1;3
p08320508802;1;42
p09312301973;1;61
p09312301973;2;57
p08261002313;1;56
p08261002313;2;76
p09283104975;1;26
p09283104975;2;23
p09283104975;3;17
p09250711632;1;25
p09250711632;2;43
p08272005316;1;53
p07320102948;1;39
p09302400695;1;2
p09302400695;2;17
p09302400695;3;57
p09240204469;1;10
p09240204469;2;5
p09240204469;3;3
p09282902352;1;5
p09282902352;2;21
p09282902352;3;17
p07292307284;1;25
p08320500224;1;49
p07243001687;1;26
p08290805958;1;2
p08290805958;2;57
p08290805958;3;23
p08272106130;1;57
p09232001834;1;61
p09232001834;2;66
p09271705344;1;2
p09271705344;2;17
p09271705344;3;56
p09242902884;1;6
p09242902884;2;32
p09211601392;1;13
p09211601392;2;66
p09211601392;3;23
p09311607582;1;23
p09311607582;2;35
p09311607582;3;26
p09282704046;1;56
p09282704046;2;60
p09282704046;3;76
p09221302980;1;1
p08242501499;1;76
p08242501499;2;56
p08242501499;3;3
p09230101413;1;46
p09230101413;2;43
p09250611482;1;10
p09250611482;2;21
p09250611482;3;5
p08211001294;1;22
p08222007191;1;76
p08310900542;1;2
p08310900542;2;56
p08310900542;3;76
p09251705229;1;61
p09231401338;1;22
p09231401338;2;23
p09231401338;3;20
p09222605068;1;22
p08270604517;1;2
p09261808114;1;1
p09320905187;1;23
p09320905187;2;39
p09320905187;3;5
p09281211608;1;32
p08242302564;1;17
p09303007839;1;31
p09303007839;2;59
p09261703075;1;61
p09261703075;2;57
p09261703075;3;3
p09212503297;1;5
p09212503297;2;10
p06301501808;1;50
p09261807946;1;51
p09261807946;2;33
p09251605789;1;49
p09251605789;2;6
p06251401544;1;20
p09240803736;1;66
p09240803736;2;57
p09240803736;3;61
p07281701842;1;21
p07281701842;2;5
p09302801182;1;21
p09250401799;1;2
p09250401799;2;17
p09250401799;3;61
p09232501372;1;61
p09232501372;2;57
p09232501372;3;17
p08210903719;1;49
p09291206014;1;4
p09291206014;2;64
p09291206014;3;21
p09290600963;1;76
p09290600963;2;60
p09290600963;3;56
p08311907289;1;76
p08311907289;2;56
p08311907289;3;23
p09230102704;1;61
p09230102704;2;57
p09252205100;1;49
p09252205100;2;61
p09252205100;3;17
p09301501885;1;49
p09301501885;2;76
p09301501885;3;60
p09292803906;1;13
p09292803906;2;23
p09292803906;3;2
p09231704097;1;10
p09231704097;2;39
p09231704097;3;5
p08211811606;1;56
p07282100640;1;10
p09261307378;1;6
p09261307378;2;9
p09301500334;1;39
p09301500334;2;10
p09301500334;3;3
p09240807297;1;25
p09240807297;2;64
p09240807297;3;46
p09250809016;1;66
p09250809016;2;13
p09250809016;3;34
p09252701798;1;49
p09252701798;2;60
p09252701798;3;56
p09232901493;1;60
p09232901493;2;76
p09232901493;3;56
p09220413715;1;17
p09220413715;2;2
p09251408795;1;45
p09282906226;1;25
p09282906226;2;43
p06261502154;1;21
p08310501576;1;76
p08310501576;2;2
p08310501576;3;3
p08322201734;1;3
p09210706999;1;22
p09291204685;1;56
p09291204685;2;76
p09291204685;3;60
p09270703541;1;22
p09270703541;2;23
p09270703541;3;13
p09292407698;1;40
p09282704107;1;46
p08272603392;1;76
p08272603392;2;23
p08272603392;3;20
p09283100322;1;60
p09283100322;2;76
p09283100322;3;56
p08282903295;1;76
p08282903295;2;56
p08282903295;3;3
p07241501080;1;13
p08291402192;1;43
p08291402192;2;37
p09310906590;1;66
p09310906590;2;57
p09310906590;3;61
p09252809458;1;43
p09252809458;2;46
p09252809458;3;33
p09311005168;1;66
p09311005168;2;61
p09311005168;3;57
p09231602463;1;49
p09231602463;2;17
p09231602463;3;2
p09310407886;1;76
p09310407886;2;56
p09310407886;3;60
p09241108298;1;64
p09241108298;2;43
p09241108298;3;46
p08322501384;1;2
p09250902665;1;47
p09250902665;2;50
p09301609286;1;66
p09301609286;2;57
p09301609286;3;61
p07300901491;1;76
p07300901491;2;5
p07300901491;3;39
p07260602333;1;35
p08222206057;1;51
p07232604668;1;56
p09290803670;1;52
p09290803670;2;40
p09212601360;1;4
p09212601360;2;64
p09212601360;3;59
p09231103698;1;46
p09231103698;2;50
p09233003637;1;2
p09233003637;2;17
p09310908592;1;31
p09310908592;2;59
p09233108035;1;17
p09233108035;2;61
p09233108035;3;57
p06222302445;1;49
p09211402009;1;21
p09211402009;2;10
p09211402009;3;39
p08240401746;1;66
p07280806760;1;23
p08322309968;1;43
p08322309968;2;46
p08322309968;3;9
p08213002880;1;14
p09211202371;1;6
p09260102028;1;60
p09260102028;2;76
p09260102028;3;66
p08242902085;1;40
p08242902085;2;46
p08242902085;3;52
p07210503233;1;49
p07210503233;2;56
p07210503233;3;76
p09271606973;1;48
p09271606973;2;44
p09271606973;3;40
p09290203234;1;66
p09290203234;2;61
p09290203234;3;49
p09221102399;1;51
p09221102399;2;33
p09221102399;3;1
p09231202717;1;49
p09231202717;2;66
p09231202717;3;61
p08280707440;1;49
p08280707440;2;57
p08290500662;1;56
p08290500662;2;76
p08290500662;3;23
p07232207625;1;21
p07232207625;2;5
p07232207625;3;39
p09262701164;1;1
p06290700235;1;76
p08212108136;1;9
p08212108136;2;59
p08220901275;1;6
p08261803983;1;40
p08261803983;2;43
p08261803983;3;9
p07320100519;1;10
p09213000991;1;52
p09213000991;2;40
p09213000991;3;38
p09272003458;1;66
p09272003458;2;61
p09241500342;1;6
p09241500342;2;32
p08282505466;1;21
p09231602487;1;56
p09231602487;2;60
p09231602487;3;76
p08293000756;1;66
p09322302494;1;61
p09322302494;2;66
p09220101177;1;66
p09271610901;1;31
p09271610901;2;59
p09230700292;1;66
p09242605466;1;66
p09242605466;2;61
p09242605466;3;2
p09282006421;1;61
p08301904339;1;23
p09250208556;1;51
p09250208556;2;33
p09250208969;1;60
p09250208969;2;55
p09250208969;3;76
p09211601354;1;48
p09211601354;2;40
p08250600566;1;32
p08250600566;2;56
p08250600566;3;76
p07272305372;1;22
p09320101620;1;22
p09320101620;2;23
p09320101620;3;13
p07240404322;1;26
p09323004562;1;61
p09323004562;2;57
p09323004562;3;17
p06232700237;1;56
p06242803450;1;61
p09272201849;1;66
p09272201849;2;61
p09212206251;1;10
p09212206251;2;3
p08311300372;1;33
p09242311822;1;64
p09242311822;2;4
p09262502840;1;57
p09262502840;2;20
p07221200734;1;3
p07232202262;1;66
p09271602498;1;66
p09251503940;1;44
p09251503940;2;48
p09221309741;1;25
p09221309741;2;38
p09221309741;3;43
p09220406760;1;22
p09220406760;2;23
p09251406281;1;4
p09251406281;2;64
p08301012573;1;9
p08301012573;2;46
p09241203382;1;57
p08241407772;1;5
p08260307389;1;21
p09283108610;1;26
p09283108610;2;6
p07272702322;1;50
p08212410590;1;23
p07300603959;1;49
p08310702687;1;48
p08310702687;2;40
p08310702687;3;9
p08211600684;1;51
p08292302286;1;21
p09252103873;1;50
p09291200889;1;17
p09291200889;2;32
p09291200889;3;2
p08310601382;1;76
p08310601382;2;56
p07271101542;1;56
p07221502522;1;57
p08271004651;1;76
p08271004651;2;56
p08271004651;3;3
p08240602505;1;50
p09282301199;1;17
p09282301199;2;2
p09282301199;3;56
p09280800379;1;50
p09280800379;2;6
p07280706060;1;3
p09231208409;1;49
p09231208409;2;2
p09231208409;3;17
p09322106265;1;45
p09322106265;2;39
p09322106265;3;5
p09261907677;1;61
p09261907677;2;76
p09271302152;1;37
p09271302152;2;43
p09271302152;3;25
p09262104226;1;64
p09262104226;2;4
p09262104226;3;51
p07283003447;1;5
p07221402440;1;60
p09242407884;1;5
p07271303104;1;56
p06210202296;1;56
p08280904601;1;4
p09320706610;1;3
p08300610567;1;46
p09252205087;1;61
p09252205087;2;26
p09252205087;3;55
p09302806088;1;46
p09302806088;2;43
p09302806088;3;25
p09321903955;1;60
p09321903955;2;56
p09321903955;3;76
p07262904969;1;2
p08243001486;1;32
p07272903242;1;33
p08282003599;1;53
p06230607857;1;51
p08272205662;1;22
p09212202608;1;39
p09212202608;2;5
p09241002189;1;25
p09241002189;2;40
p09241002189;3;38
p08281403444;1;76
p07261511719;1;38
p09280504266;1;61
p09280504266;2;2
p09280504266;3;17
p09252203177;1;32
p09252203177;2;6
p09252203177;3;56
p09233007082;1;22
p06290207275;1;66
p07312104831;1;9
p09252002011;1;2
p09252002011;2;61
p09252002011;3;17
p09310906101;1;3
p09310906101;2;10
p09310906101;3;59
p09220404607;1;4
p09220404607;2;64
p09220404607;3;47
p07231600146;1;4
p08252202698;1;21
p08252202698;2;4
p08252202698;3;37
p08292404216;1;48
p09241701422;1;40
p09241701422;2;38
p08261609473;1;76
p08261609473;2;56
p09211909599;1;76
p09211909599;2;60
p09310310496;1;31
p09310310496;2;6
p09231604939;1;2
p09231604939;2;17
p09231604939;3;66
p07273103375;1;2
p09282503065;1;2
p09282503065;2;17
p09222600285;1;60
p09222600285;2;56
p09222600285;3;76
p09280407750;1;32
p09280407750;2;6
p09321507463;1;49
p09260108048;1;3
p09260108048;2;31
p07260901005;1;49
p09212001092;1;46
p09212001092;2;43
p08321607180;1;76
p08321607180;2;3
p08311408667;1;46
p08311408667;2;43
p08212308598;1;47
p08293005379;1;50
p09302603579;1;50
p09302603579;2;47
p09302603579;3;46
p08262101899;1;3
p08252605316;1;46
p08252605316;2;43
p08252605316;3;47
p07231803556;1;47
p09291112313;1;50
p09291112313;2;47
p09243005272;1;45
p09273003853;1;31
p09273003853;2;59
p08322003350;1;49
p08322003350;2;49
p08322003350;3;56
p07322704858;1;56
p06291005735;1;53
p09292506519;1;17
p09292506519;2;2
p09292506519;3;55
p09251705243;1;57
p09251705243;2;61
p09251705243;3;59
p08212703485;1;25
p09221502205;1;6
p09221502205;2;32
p09221502205;3;61
p09243005296;1;42
p08230401967;1;59
p08300701234;1;46
p09322106333;1;23
p09322106333;2;35
p09322106333;3;26
p08311704473;1;33
p09231504086;1;76
p09231504086;2;56
p09231504086;3;60
p07322702344;1;55
p09270110457;1;59
p09270110457;2;10
p09270110457;3;3
p09212308021;1;60
p09212308021;2;76
p09212308021;3;39
p09250303312;1;5
p09250303312;2;39
p09250303312;3;10
p09252804897;1;22
p09252804897;2;35
p09242807097;1;59
p09242807097;2;47
p07242411795;1;48
p09302204909;1;6
p09302204909;2;32
p08241105090;1;43
p09260505890;1;60
p09260505890;2;76
p09260505890;3;56
p09261704182;1;49
p09261704182;2;2
p09261704182;3;17
p09291801189;1;60
p09291801189;2;76
p09291801189;3;56
p09310705373;1;66
p09310705373;2;53
p09310705373;3;37
p09261011398;1;6
p08212301997;1;56
p08212301997;2;76
p08212301997;3;32
p08231703310;1;32
p08231703310;2;5
p08231703310;3;21
p09290203401;1;60
p09290203401;2;76
p09290203401;3;56
p07261703576;1;33
p09230706595;1;4
p09230706595;2;47
p09230706595;3;50
p09311607544;1;76
p09311607544;2;60
p09311607544;3;56
p09281804563;1;23
p09281804563;2;20
p09281804563;3;13
p07250203250;1;48
p07250203250;2;40
p07250203250;3;40
p09242302233;1;66
p09242302233;2;61
p07281901839;1;55
p08241001761;1;51
p09240610282;1;13
p09240610282;2;57
p09240610282;3;61
p07310101274;1;5
p09262900778;1;5
p09262900778;2;66
p09262900778;3;10
p09231803109;1;2
p09231803109;2;17
p09231803109;3;33
p09251600999;1;61
p09251600999;2;17
p09251600999;3;2
p09211705652;1;10
p09211705652;2;5
p09211705652;3;39
p09300210030;1;76
p09300210030;2;60
p09300210030;3;2
p06312401542;1;3
p09281705222;1;57
p09281705222;2;13
p06291411893;1;23
p09252002165;1;50
p09252002165;2;47
p09232501396;1;66
p09232501396;2;53
p08261111053;1;4
p07210601986;1;53
p09280803334;1;66
p09280803334;2;57
p09280803334;3;61
p07280711846;1;51
p07282906741;1;1
p08232301265;1;37
p08232301265;2;43
p08232301265;3;46
p09242105034;1;39
p09242105034;2;5
p09242105034;3;21
p08222304175;1;17
p07301108637;1;76
p07301108637;2;5
p07323100431;1;66
p09302300940;1;43
p09302300940;2;61
p09302300940;3;17
p09250605360;1;3
p09250605360;2;22
p09250605360;3;23
p08270301988;1;56
p08270301988;2;76
p09292000426;1;48
p09292000426;2;44
p08230110555;1;23
p08230110555;2;20
p08230110555;3;57
p08251706025;1;9
p08251706025;2;56
p08251706025;3;76
p09321202351;1;2
p09321202351;2;17
p09321202351;3;23
p07291500657;1;21
p09280702084;1;61
p09280702084;2;57
p09280702084;3;26
p08241805891;1;39
p08222100412;1;20
p09311005229;1;20
p09311005229;2;13
p09311005229;3;34
p09250405083;1;26
p09250405083;2;23
p09250405083;3;57
p07310101236;1;21
p07272300131;1;10
p08272903041;1;76
p08272903041;2;3
p08272903041;3;2
p09311308759;1;4
p09311308759;2;64
p08292100396;1;20
p09321509700;1;60
p09321509700;2;76
p09321509700;3;56
p06261203048;1;25
p09252203276;1;25
p09252203276;2;40
p09252203276;3;43
p09282705139;1;48
p09282705139;2;44
p09282705139;3;38
p09310306673;1;57
p09310306673;2;61
p09310306673;3;13
p09222102954;1;66
p09222102954;2;57
p09222102954;3;61
p09222305982;1;39
p09222305982;2;76
p09222305982;3;56
p09282806809;1;60
p09282806809;2;56
p09282806809;3;76
p09220403552;1;10
p09220403552;2;3
p09220403552;3;39
p09302901134;1;60
p09302901134;2;56
p09302901134;3;17
p09240608317;1;33
p09240608317;2;51
p08282107781;1;5
p08282107781;2;3
p09270404312;1;66
p09270404312;2;61
p09270404312;3;57
p07231602247;1;57
p07242301399;1;1
p09252103880;1;5
p09252103880;2;76
p09252103880;3;39
p09241104133;1;51
p09241104133;2;33
p09241104133;3;1
p08222404943;1;2
p08222404943;2;76
p09321008971;1;2
p09321008971;2;76
p06301500531;1;37
p09230404899;1;47
p09230404899;2;50
p06241301195;1;50
p08312405816;1;2
p08302502109;1;42
p08222201748;1;21
p08222201748;2;76
p08222201748;3;56
p09300900678;1;51
p09300900678;2;33
p08232200533;1;57
p09272811295;1;31
p09272811295;2;59
p09270603520;1;48
p09270603520;2;38
p09270603520;3;17
p08210701089;1;35
p09272401041;1;34
p09272401041;2;2
p09272401041;3;17
p09242706464;1;31
p09260903971;1;56
p09260903971;2;60
p09260903971;3;76
p08230101423;1;2
p09283003861;1;2
p09283003861;2;20
p09283003861;3;23
p08252200788;1;17
p09300506386;1;17
p09300506386;2;2
p09270503110;1;26
p09270503110;2;23
p09270503110;3;20
p09270405641;1;76
p09270405641;2;61
p09270405641;3;2
p08272403848;1;13
p09210401108;1;25
p09210401108;2;40
p08271509163;1;3
p08271509163;2;56
p08271509163;3;76
p08253005917;1;31
p09232301705;1;33
p09232301705;2;51
p07301503890;1;56
p07301503890;2;76
p09281301190;1;3
p09281301190;2;10
p09231406258;1;2
p09231406258;2;55
p09231406258;3;76
p09270901833;1;5
p09270901833;2;10
p09302400657;1;39
p09302400657;2;10
p09302400657;3;3
p09291602575;1;43
p09291602575;2;38
p09291602575;3;40
p09291708714;1;32
p09291708714;2;76
p09291708714;3;56
p09210904298;1;1
p09210904298;2;33
p09210904298;3;51
p09270306720;1;57
p09270306720;2;61
p09270603711;1;10
p09270603711;2;5
p09270603711;3;21
p09240105289;1;37
p09240105289;2;25
p08281406782;1;61
p09221102412;1;6
p09221102412;2;2
p09221102412;3;61
p09300902861;1;51
p09300902861;2;33
p09300902861;3;43
p09261509244;1;10
p09261509244;2;5
p09261509244;3;39
p08262502621;1;3
p09240903153;1;40
p09240903153;2;48
p08321912493;1;45
p09322304465;1;50
p09250301815;1;37
p09250301815;2;52
p09250301815;3;40
p09302901097;1;49
p09302901097;2;32
p09302901097;3;6
p09222504664;1;4
p09222504664;2;64
p09222504664;3;47
p09282700219;1;46
p09282700219;2;25
p08212100558;1;26
p08243001509;1;5
p09242102994;1;49
p09212306913;1;49
p09212305097;1;76
p09212305097;2;60
p09212305097;3;56
p08260906366;1;2
p08260906366;2;23
p08260906366;3;76
p09300205315;1;64
p09300205315;2;4
p08311107443;1;47
p08311107443;2;4
p09322602686;1;43
p09322602686;2;37
p09322602686;3;25
p09251503865;1;60
p09251503865;2;56
p09251503865;3;76
p08231501079;1;66
p09290302353;1;40
p09290302353;2;44
p09290302353;3;25
p09261808138;1;60
p09261808138;2;56
p09261808138;3;76
p09312201891;1;66
p09312201891;2;53
p09312201891;3;61
p09270400875;1;40
p09270400875;2;38
p09270400875;3;25
p09311507233;1;22
p07321803770;1;43
p09252801511;1;56
p09252801511;2;60
p09252801511;3;76
p07241803632;1;51
p07251707227;1;35
p09290410207;1;76
p09290410207;2;3
p09290410207;3;5
p09290411017;1;76
p09290411017;2;3
p09290411017;3;5
p09211401961;1;48
p09211401961;2;9
p09211401961;3;44
p08321202668;1;14
p07241902706;1;48
p07231903591;1;61
p09271805945;1;61
p09271805945;2;66
p09271805945;3;57
p09231403194;1;57
p09231403194;2;61
p07302304643;1;46
p07302304643;2;5
p07302304643;3;3
p09292707019;1;46
p09292707019;2;5
p09292707019;3;3
p09230701811;1;76
p09230701811;2;60
p09230701811;3;39
p08212702057;1;2
p09301504987;1;31
p09213007141;1;76
p09213007141;2;10
p09231205567;1;60
p09231205567;2;76
p09231205567;3;56
p09262908677;1;1
p09262908677;2;64
p06262611336;1;60
p09231205277;1;60
p09231205277;2;76
p09231205277;3;56
p09280700730;1;76
p09280700730;2;56
p09280700730;3;60
p09321108909;1;23
p09321108909;2;26
p09321108909;3;2
p09241804545;1;23
p09241804545;2;26
p09241804545;3;61
p07311601216;1;76
p07280606605;1;33
p08300502415;1;56
p08300502415;2;76
p08300502415;3;3
p08310510189;1;56
p08310510189;2;76
p08252704138;1;33
p09291001664;1;55
p09282108307;1;76
p09282108307;2;66
p09262308644;1;21
p09262308644;2;10
p09262308644;3;5
p08231200343;1;76
p09240809985;1;48
p09240809985;2;40
p09240809985;3;44
p09310101940;1;25
p09310101940;2;40
p09310101940;3;47
p09261406640;1;57
p09261406640;2;61
p07260502572;1;4
p09301603891;1;6
p09301603891;2;32
p08241400331;1;45
p09261902245;1;44
p09261902245;2;48
p09261902245;3;38
p06240301004;1;76
p09261003014;1;5
p09261003014;2;10
p09261003014;3;39
p09280300725;1;21
p09280300725;2;10
p09280300725;3;5
p08281403420;1;4
p09291111626;1;4
p09291111626;2;64
p09310408412;1;32
p09310408412;2;6
p09310408412;3;66
p08230900800;1;76
p09241502641;1;56
p09241502641;2;76
p09241502641;3;60
p08240206433;1;1
p07311400129;1;60
p09312505759;1;17
p09312505759;2;2
p09312505759;3;61
p09221601003;1;35
p09221601003;2;23
p07232903514;1;23
p09210205696;1;57
p09210205696;2;61
p09210205696;3;66
p08220503507;1;64
p08300604643;1;61
p09211005974;1;48
p09211005974;2;44
p09262903504;1;34
p09262903504;2;66
p09211003583;1;53
p08282405063;1;35
p09212606617;1;34
p09212606617;2;52
p08261901513;1;2
p08261901513;2;56
p08261901513;3;14
p07253109072;1;6
p09321401385;1;45
p07251401954;1;31
p06310503017;1;56
p09311308483;1;23
p09311308483;2;26
p09311308483;3;22
p07261502199;1;39
p07261502199;2;21
p07261502199;3;3
p06221300338;1;34
p09270901918;1;26
p09270901918;2;20
p09270901918;3;23
p08290400870;1;13
p09211700664;1;39
p09211700664;2;76
p09211700664;3;56
p08310903835;1;47
p09242304471;1;21
p09242304471;2;10
p09281104243;1;51
p09281104243;2;33
p08320801301;1;76
p08320801301;2;56
p08320801301;3;32
p09220204047;1;5
p09220204047;2;39
p09220204047;3;10
p08322607912;1;42
p08271002772;1;43
p09322002912;1;17
p09322002912;2;2
p09322002912;3;26
p08291605052;1;76
p08291605052;2;23
p08291605052;3;3
p09241306238;1;20
p09241306238;2;23
p09243005258;1;76
p09243005258;2;56
p09243005258;3;26
p07310700909;1;49
p09282406351;1;2
p09282406351;2;17
p09282406351;3;55
p07282404850;1;55
p07291712670;1;52
p08241402609;1;76
p08241402609;2;56
p08302900785;1;5
p07321112919;1;64
p09232608970;1;48
p09232608970;2;44
p09270105190;1;44
p09270105190;2;48
p09270105190;3;40
p09291203738;1;32
p09291203738;2;6
p09222106040;1;60
p09222106040;2;76
p09222106040;3;56
p07322601025;1;5
p09273002166;1;60
p09273002166;2;76
p09273002166;3;47
p06301701918;1;49
p08261002351;1;56
p08261002351;2;76
p07310103177;1;33
p07310103177;2;64
p07310103177;3;50
p07300207368;1;22
p09292506410;1;44
p09292506410;2;48
p07271604991;1;44
p09210607375;1;2
p09210607375;2;17
p09291201019;1;21
p09291201019;2;5
p09291201019;3;53
p09272904292;1;31
p09272904292;2;59
p09251106686;1;66
p08282008747;1;32
p08282008747;2;2
p07242703030;1;4
p07242703030;2;64
p09271311543;1;52
p09271311543;2;38
p06293002945;1;64
p06270304932;1;10
p09282408209;1;45
p09282408209;2;2
p09282408209;3;20
p09290703420;1;38
p09290703420;2;40
p09290703420;3;47
p08302000980;1;17
p06291007201;1;6
p09312304464;1;17
p09312304464;2;2
p09312304464;3;26
p09300704821;1;40
p09300704821;2;40
p09300704821;3;25
p09210205900;1;25
p09210205900;2;40
p09210205900;3;43
p08320300466;1;76
p08320300466;2;56
p08320300466;3;32
p07302100898;1;53
p09281805519;1;60
p09281805519;2;76
p09281805519;3;56
p09252011778;1;40
p09252011778;2;40
p09252011778;3;25
p09311402057;1;17
p09311402057;2;2
p09240714955;1;39
p09240714955;2;3
p09240714955;3;5
p09221804109;1;40
p09221804109;2;51
p09221804109;3;25
p09260603994;1;17
p09260603994;2;2
p09322109039;1;4
p09322109039;2;21
p09322109039;3;50
p08250606999;1;4
p08250606999;2;47
p09321000010;1;45
p09321000010;2;26
p09321000010;3;35
p07221601511;1;23
p09282303245;1;13
p09282303245;2;34
p09282303245;3;20
p07282700819;1;13
p09300105721;1;50
p09300105721;2;47
p09300105721;3;64
p09232006853;1;26
p09232006853;2;17
p09232006853;3;23
p09321104844;1;35
p09321104844;2;22
p08262206082;1;46
p09273000270;1;32
p09273000270;2;6
p09292210119;1;31
p09292210119;2;59
p08241801187;1;44
p09312704691;1;56
p09312704691;2;60
p09312704691;3;76
p09300109015;1;56
p09300109015;2;60
p09300109015;3;76
p09311907224;1;56
p09311907224;2;76
p09311907224;3;60
p08321905509;1;49
p09230608989;1;56
p09230608989;2;60
p09230608989;3;23
p09211305227;1;60
p09211305227;2;56
p09211305227;3;3
p09272312758;1;50
p09272312758;2;10
p09272312758;3;4
p09292408101;1;13
p09292408101;2;34
p07301400715;1;76
p09251602335;1;6
p09251602335;2;49
p09251602335;3;76
p07222200849;1;6
